workload,machines,thresTemp,envTemp,acPower
640,2,22,25,733.8943345219
640,3,22,25,850.1767759399
640,4,22,25,903.455079354
640,5,22,25,999.5885478571
640,6,22,25,1095.5845160689
640,7,22,25,1191.254212403
640,8,22,25,1287.0248976516
640,9,22,25,1382.6169102053
640,10,22,25,1478.208922759
640,11,22,25,1574.3447217755
640,12,22,25,1670.4183737678
640,13,22,25,1766.313353065
640,14,22,25,1862.2083323623
640,15,22,25,1958.1110800376
640,16,22,25,2054.2391106761
640,17,22,25,2150.3671413146
640,18,22,25,2248.033310805
640,19,22,25,2345.6917119175
640,20,22,25,2443.3578814079
640,21,22,25,2541.0162825204
640,22,22,25,2657.2781456386
640,23,22,25,2753.1764076032
640,24,22,25,2849.0746695677
640,25,22,25,2945.2042127445
640,26,22,25,3042.8670646988
640,27,22,25,3145.7808567684
640,28,22,25,3248.694648838
640,29,22,25,3513.4881575453
640,30,22,25,3616.401949615
640,31,22,25,3719.3157416846
640,32,22,25,3784.9589130486
640,33,22,25,3890.7508059692
640,34,22,25,3996.5426988899
640,35,22,25,4263.0157231972
640,36,22,25,4529.4809791264
640,37,22,25,4625.0729916801
640,38,22,25,4723.1897270969
640,39,22,25,4819.0847063942
640,40,22,25,5086.7695976757
640,41,22,25,5354.4467205792
640,42,22,25,5622.1238434827
640,43,22,25,5889.8009663862
640,44,22,25,5985.9367654028
640,45,22,25,6256.457114669
640,46,22,25,6526.9696955573
640,47,22,25,6797.4900448235
640,48,22,25,7072.9899244137
640,49,22,25,7348.4820356258
640,50,22,25,7444.0740481795
640,51,22,25,7540.209847196
640,52,22,25,7636.3378778345
640,53,22,25,7732.465908473
640,54,22,25,7830.1320779635
640,55,22,25,7953.9077660475
640,56,22,25,8049.7794402107
640,57,22,25,8152.7203383906
640,58,22,25,8255.58355279
640,59,22,25,8482.4300807135
640,60,22,25,8597.3342810755
640,61,22,25,8712.2384814375
640,62,22,25,8827.1426817995
640,63,22,25,9053.9115259425
640,64,22,25,9280.6803700855
640,65,22,25,9386.4955681403
640,66,22,25,9489.3587825398
640,67,22,25,9592.2996807197
640,68,22,25,9819.0685248627
640,69,22,25,9967.866812953
640,70,22,25,10073.6724516258
640,71,22,25,10179.39497307
640,72,22,25,10294.3435068821
640,73,22,25,10390.2581953587
640,74,22,25,10486.0897666068
640,75,22,25,10582.2538067691
640,76,22,25,10697.1192233526
640,77,22,25,10812.0677571647
640,78,22,25,10926.9331737483
640,79,22,25,11191.7420706164
640,80,22,25,11456.5509674845
640,81,22,25,11721.3598643527
640,82,22,25,11987.8311057916
640,83,22,25,12252.6400026598
640,84,22,25,12517.4488995279
640,85,22,25,12785.0837821664
640,86,22,25,13052.8017820334
640,87,22,25,13323.2626504422
640,88,22,25,13593.8066360795
640,89,22,25,13864.3506217169
640,90,22,25,14134.8114901257
640,91,22,25,14405.355475763
640,92,22,25,14675.8994614004
640,93,22,25,14942.3707028393
640,94,22,25,15210.0055854778
640,95,22,25,15477.7235853448
640,96,22,25,15750.6779706097
640,97,22,25,16021.2219562471
640,98,22,25,16291.6828246559
640,99,22,25,16567.2138440056
640,100,22,25,16840.2513464991
640,101,22,25,17113.2057317641
640,102,22,25,17219.0113704369
640,103,22,25,17324.8170091096
640,104,22,25,17591.2882505486
640,105,22,25,17857.7594919875
640,106,22,25,18124.2307334264
640,107,22,25,18394.6916018352
640,108,22,25,18670.2226211849
640,109,22,25,18937.8575038234
640,110,22,25,19210.8950063169
640,111,22,25,19481.3558747257
640,112,22,25,19751.8998603631
640,113,22,25,20022.4438460004
640,114,22,25,20292.9047144092
640,115,22,25,20560.6227142762
640,116,22,25,20828.2575969147
640,117,22,25,21103.7886162644
640,118,22,25,21379.3196356141
640,119,22,25,21654.7675377352
640,120,22,25,21930.2985570849
640,121,22,25,22205.7464592061
640,122,22,25,22481.2774785558
640,123,22,25,22756.7253806769
640,124,22,25,22871.673914489
640,125,22,25,22967.5054857371
640,126,22,25,23063.4201742137
640,127,22,25,23159.584214376
640,128,22,25,23257.2443646519
640,129,22,25,23352.8265842144
640,130,22,25,23448.741272691
640,131,22,25,23544.6559611676
640,132,22,25,23640.7368841013
640,133,22,25,23736.9009242636
640,134,22,25,23843.9533213645
640,135,22,25,23939.5355409269
640,136,22,25,24078.0893676441
640,137,22,25,24174.2534078064
640,138,22,25,24271.9135580823
640,139,22,25,24367.8282465589
640,140,22,25,24463.9091694927
640,141,22,25,24566.8888223951
640,142,22,25,24672.6113438394
640,143,22,25,24770.2714941153
640,144,22,25,24867.9316443912
640,145,22,25,24970.9112972937
640,146,22,25,25073.8078329676
640,147,22,25,25176.7043686415
640,148,22,25,25279.6009043154
640,149,22,25,25375.1831238779
640,150,22,25,25471.3471640402
640,151,22,25,25567.5112042024
640,152,22,25,25663.5921271361
640,153,22,25,25759.7561672984
640,154,22,25,25865.5618059711
640,155,22,25,25968.4583416451
640,156,22,25,26071.354877319
640,157,22,25,26166.9370968814
640,158,22,25,26262.8517853581
640,159,22,25,26361.5093423765
640,160,22,25,26476.37475896
640,161,22,25,26579.3544118625
640,162,22,25,26685.0769333067
640,163,22,25,26862.6958574373
640,164,22,25,26977.5612740209
640,165,22,25,27080.5409269233
640,166,22,25,27422.8981980185
640,167,22,25,27538.677904116
640,168,22,25,27881.0351752111
640,169,22,25,28223.4755635348
640,170,22,25,28565.9159518585
640,171,22,25,28908.3563401822
640,172,22,25,29085.9752643128
640,173,22,25,29263.5110712148
640,174,22,25,29441.1299953454
640,175,22,25,29618.6658022475
640,176,22,25,29885.1370436864
640,177,22,25,30151.6082851253
640,178,22,25,30418.0795265643
640,179,22,25,30684.5507680032
640,180,22,25,30862.0865749052
640,181,22,25,31039.7054990358
640,182,22,25,31312.6598843008
640,183,22,25,31490.2788084314
640,184,22,25,31667.8146153335
640,185,22,25,31845.4335394641
640,186,22,25,32022.9693463661
640,187,22,25,32200.5882704967
640,188,22,25,32378.1240773988
640,189,22,25,32555.7430015294
640,190,22,25,32733.2788084314
640,191,22,25,32910.897732562
640,192,22,25,33088.4335394641
640,193,22,25,33184.3482279407
640,194,22,25,33280.2629164173
640,195,22,25,33376.4269565796
640,196,22,25,33472.5078795133
640,197,22,25,33568.6719196755
640,198,22,25,33666.3320699515
640,199,22,25,33769.2286056254
640,200,22,25,33866.8887559013
640,201,22,25,33972.6943945741
640,202,22,25,34075.590930248
640,203,22,25,34181.3965689208
640,204,22,25,34287.2022075936
640,205,22,25,34402.0676241771
640,206,22,25,34517.0161579892
640,207,22,25,34694.5519648913
640,208,22,25,34872.1708890219
640,209,22,25,35049.7066959239
640,210,22,25,35227.242502826
