workload,machines,cpuPower
640,2,1421.5431106139
640,3,1501.6338304452
640,4,1536.013501441
640,5,1601.4835659963
640,6,1666.8557489882
640,7,1731.9917732877
640,8,1797.2008203407
640,9,1862.2793586427
640,10,1927.3578969447
640,11,1992.8326225268
640,12,2058.2607378406
640,13,2123.5567907277
640,14,2188.8606119928
640,15,2254.1566648799
640,16,2319.631390462
640,17,2385.098347666
640,18,2451.6761829298
640,19,2518.2617865716
640,20,2584.8396218354
640,21,2651.4174570991
640,22,2731.4957041656
640,23,2796.7966267207
640,24,2862.0975492758
640,25,2927.5697912473
640,26,2994.1470434552
640,27,3064.5361526799
640,28,3134.9252619046
640,29,3322.7709630721
640,30,3393.1600722968
640,31,3463.5491815215
640,32,3506.9024369402
640,33,3579.3764711366
640,34,3651.858273711
640,35,3840.912357159
640,36,4029.9586722288
640,37,4095.0372105308
640,38,4161.9490860503
640,39,4227.2529073155
640,40,4417.184817482
640,41,4607.1167276484
640,42,4797.0408694369
640,43,4986.9727796034
640,44,5052.4475051854
640,45,5244.4380355326
640,46,5436.4285658797
640,47,5628.4190962269
640,48,5824.0141539848
640,49,6019.6169801207
640,50,6084.6955184227
640,51,6150.1702440048
640,52,6215.6372012088
640,53,6281.1119267908
640,54,6347.6897620546
640,55,6433.2069029807
640,56,6498.5107242459
640,57,6568.8950647494
640,58,6639.287173631
640,59,6799.5516480614
640,60,6878.6365719701
640,61,6957.7292642569
640,62,7036.8219565437
640,63,7197.078662596
640,64,7357.3431370264
640,65,7429.8171712228
640,66,7500.2092801044
640,67,7570.601388986
640,68,7730.8580950383
640,69,7834.5132655097
640,70,7906.9951459539
640,71,7979.4687146752
640,72,8058.5584147882
640,73,8123.8589666866
640,74,8189.159518585
640,75,8254.6263049405
640,76,8333.7160050535
640,77,8412.8057051666
640,78,8491.8954052796
640,79,8679.7356872133
640,80,8867.5759691469
640,81,9055.3830041891
640,82,9244.461732828
640,83,9432.2937030388
640,84,9620.1256732496
640,85,9810.0355741738
640,86,10000.0285923266
640,87,10192.0164239644
640,88,10384.0042556021
640,89,10575.9920872398
640,90,10767.9799188776
640,91,10959.9677505153
640,92,11151.9555821531
640,93,11340.9511935634
640,94,11530.9442117162
640,95,11720.8541126405
640,96,11914.6705233061
640,97,12106.6583549438
640,98,12298.6461865816
640,99,12494.2080590465
640,100,12688.0244697121
640,101,12881.7577631491
640,102,12954.3061373762
640,103,13026.7713943746
640,104,13215.767005785
640,105,13404.8457344238
640,106,13593.9244630627
640,107,13785.9122947004
640,108,13981.4741671654
640,109,14171.3840680896
640,110,14365.2004787552
640,111,14557.188310393
640,112,14749.1761420307
640,113,14941.1639736685
640,114,15133.1518053062
640,115,15323.0617062305
640,116,15513.0547243833
640,117,15708.6165968482
640,118,15904.1784693131
640,119,16099.8234590066
640,120,16295.3853314715
640,121,16491.030321165
640,122,16686.5921936299
640,123,16882.2371833234
640,124,16961.2687013764
640,125,17026.5858767205
640,126,17091.9030520646
640,127,17157.3864618658
640,128,17223.950395638
640,129,17289.0182192965
640,130,17354.3353946406
640,131,17419.6525699847
640,132,17485.1359797859
640,133,17550.5362723585
640,134,17623.9989360995
640,135,17689.066759758
640,136,17785.3035441186
640,137,17850.7869539198
640,138,17917.350887692
640,139,17982.6680630361
640,140,18048.1514728373
640,141,18118.5387991223
640,142,18191.0040561208
640,143,18257.5679898929
640,144,18324.1319236651
640,145,18394.6023671787
640,146,18464.9896934637
640,147,18535.3770197487
640,148,18605.7643460336
640,149,18670.8321696921
640,150,18736.3155794933
640,151,18801.715872066
640,152,18867.1992818671
640,153,18932.6826916683
640,154,19005.1479486668
640,155,19075.5352749518
640,156,19145.9226012368
640,157,19210.9904248953
640,158,19276.3076002394
640,159,19343.6195890684
640,160,19422.73422435
640,161,19493.121550635
640,162,19565.5868076335
640,163,19690.166566926
640,164,19769.2812022076
640,165,19839.6685284926
640,166,20083.7708624244
640,167,20163.4673183057
640,168,20407.6527694661
640,169,20651.8382206264
640,170,20895.9405545581
640,171,21140.1260057185
640,172,21264.705765011
640,173,21389.2855243035
640,174,21513.7821663674
640,175,21638.3619256599
640,176,21827.4406542988
640,177,22016.5193829377
640,178,22205.514994348
640,179,22394.5937229869
640,180,22519.1734822794
640,181,22643.6701243434
640,182,22837.486535009
640,183,22962.0662943015
640,184,23086.646053594
640,185,23211.142695658
640,186,23335.7224549505
640,187,23460.302214243
640,188,23584.8819735355
640,189,23709.3786155994
640,190,23833.9583748919
640,191,23958.5381341845
640,192,24083.117893477
640,193,24148.3519515925
640,194,24213.6691269366
640,195,24279.1525367378
640,196,24344.635946539
640,197,24410.1193563402
640,198,24476.6832901124
640,199,24547.0706163974
640,200,24613.6345501696
640,201,24686.099807168
640,202,24756.487133453
640,203,24828.9523904515
640,204,24901.5007646785
640,205,24980.5322827316
640,206,25059.6469180132
640,207,25184.2266773057
640,208,25308.8064365982
640,209,25433.3030786621
640,210,25557.8828379546
1280,2,1456.462127574
1280,3,1568.8478827845
1280,4,1599.307257579
1280,5,1682.5729946354
1280,6,1722.3712881863
1280,7,1787.5893845526
1280,8,1845.004175487
1280,9,1910.0863257657
1280,10,1975.2578120448
1280,11,2040.7827581519
1280,12,2106.1756423453
1280,13,2171.5180322775
1280,14,2236.9148006448
1280,15,2302.2144646637
1280,16,2367.6850323358
1280,17,2433.1517158338
1280,18,2499.7331572508
1280,19,2566.3145986677
1280,20,2632.8921559108
1280,21,2699.4735973277
1280,22,2766.0550387446
1280,23,2831.622710765
1280,24,2896.922374784
1280,25,2962.6648346313
1280,26,3029.2423918743
1280,27,3099.2690955701
1280,28,3169.6570274417
1280,29,3365.2551902274
1280,30,3435.9577401876
1280,31,3506.3456720592
1280,32,3578.5164397662
1280,33,3650.9979413878
1280,34,3723.4755588355
1280,35,3919.9204715387
1280,36,4108.9699170729
1280,37,4174.0481831777
1280,38,4260.6690023214
1280,39,4325.965641891
1280,40,4515.8971569543
1280,41,4705.8286720176
1280,42,4895.7601870808
1280,43,5085.6874191587
1280,44,5151.146812174
1280,45,5343.1641411329
1280,46,5535.1386402378
1280,47,5727.1131393427
1280,48,5922.7281760478
1280,49,6118.343212753
1280,50,6183.4128540958
1280,51,6248.8679641257
1280,52,6314.3659040097
1280,53,6379.8210140396
1280,54,6446.3897002767
1280,55,6516.7702435306
1280,56,6584.8894213439
1280,57,6655.2907063039
1280,58,6725.6495833422
1280,59,6885.913254596
1280,60,6965.008163525
1280,61,7044.1030724539
1280,62,7123.1979813829
1280,63,7283.4616526367
1280,64,7443.7253238905
1280,65,7516.2045970187
1280,66,7586.6058819788
1280,67,7656.964759017
1280,68,7817.2284302708
1280,69,7875.4958148026
1280,70,7960.220232662
1280,71,8032.7095026315
1280,72,8111.8018682877
1280,73,8177.1054164806
1280,74,8242.4089646734
1280,75,8307.8678798237
1280,76,8386.9602454798
1280,77,8466.0526111359
1280,78,8545.1449767921
1280,79,8732.9553708415
1280,80,8920.8046066303
1280,81,9108.6538424191
1280,82,9297.7071721272
1280,83,9485.556407916
1280,84,9673.3668019654
1280,85,9863.3134916782
1280,86,10053.2601813909
1280,87,10245.226641549
1280,88,10437.2319434464
1280,89,10629.1984036045
1280,90,10821.2037055019
1280,91,11013.2090073994
1280,92,11205.1754675574
1280,93,11394.2287972655
1280,94,11584.1754869783
1280,95,11774.0833349517
1280,96,11967.8753568585
1280,97,12159.8806587559
1280,98,12351.847118914
1280,99,12547.4647025694
1280,100,12741.2567244761
1280,101,12935.0487463829
1280,102,13010.8395641957
1280,103,13083.3288341652
1280,104,13272.343322134
1280,105,13461.3966518421
1280,106,13650.4499815502
1280,107,13842.4552834476
1280,108,14038.0340253637
1280,109,14227.9807150764
1280,110,14421.7727369832
1280,111,14613.7780388806
1280,112,14805.7444990387
1280,113,14997.7498009361
1280,114,15189.7162610942
1280,115,15379.6629508069
1280,116,15569.6096405197
1280,117,15765.1883824358
1280,118,15960.8059660912
1280,119,16156.3847080072
1280,120,16352.0022916626
1280,121,16547.5810335787
1280,122,16743.1986172341
1280,123,16938.7773591501
1280,124,17017.8697248063
1280,125,17083.1732729992
1280,126,17148.4768211921
1280,127,17213.9357363423
1280,128,17280.5210619332
1280,129,17379.9358955711
1280,130,17445.2118043579
1280,131,17510.5292719316
1280,132,17576.0129746533
1280,133,17641.455118588
1280,134,17689.7434503117
1280,135,17787.0096582621
1280,136,17872.1506672263
1280,137,17937.634369948
1280,138,18009.8505961608
1280,139,18075.1680637346
1280,140,18140.6102076693
1280,141,18210.8316121069
1280,142,18283.3387498286
1280,143,18349.9029810118
1280,144,18416.508770982
1280,145,18486.8964105676
1280,146,18557.2840501531
1280,147,18627.6716897387
1280,148,18678.5304227923
1280,149,18743.6009205492
1280,150,18809.0598356994
1280,151,18874.5187508497
1280,152,18940.0165077392
1280,153,19005.4754228894
1280,154,19077.9646928589
1280,155,19148.3565089045
1280,156,19218.74832495
1280,157,19283.8188227069
1280,158,19349.1223708998
1280,159,19415.74653823
1280,160,19494.8389038861
1280,161,19565.2307199316
1280,162,19637.7199899011
1280,163,19762.257190577
1280,164,19879.7425433146
1280,165,19950.1301829002
1280,166,20194.2751108581
1280,167,20273.7641247927
1280,168,20517.9506115376
1280,169,20762.0955394954
1280,170,21006.2820262402
1280,171,21250.4269541981
1280,172,21375.0072520083
1280,173,21499.5875498186
1280,174,21624.1262888419
1280,175,21748.7065866521
1280,176,21937.7445630717
1280,177,22126.7825394912
1280,178,22315.8205159108
1280,179,22504.9000511173
1280,180,22629.4387901406
1280,181,22754.0190879509
1280,182,22947.7947660864
1280,183,23072.3750638966
1280,184,23196.9138029199
1280,185,23321.4941007302
1280,186,23446.0328397535
1280,187,23570.6131375637
1280,188,23695.151876587
1280,189,23819.7321743973
1280,190,23944.2709134206
1280,191,24068.8512112308
1280,192,24193.3899502541
1280,193,24258.7074178279
1280,194,24323.9833266147
1280,195,24389.4670293363
1280,196,24454.950732058
1280,197,24520.3928759927
1280,198,24586.9986659629
1280,199,24657.3863055485
1280,200,24723.9505367317
1280,201,24796.4576744534
1280,202,24866.845314039
1280,203,24939.3108929737
1280,204,25011.7764719083
1280,205,25090.8914567602
1280,206,25169.964882825
1280,207,25294.5451806353
1280,208,25419.0839196586
1280,209,25543.6642174688
1280,210,25678.6757708116
6400,2,1496.4167038996
6400,3,1624.7772976792
6400,4,1761.3259839275
6400,5,1875.0527464979
6400,6,1988.1386619563
6400,7,2108.9631565845
6400,8,2229.8382331574
6400,9,2335.5266130591
6400,10,2422.0068916075
6400,11,2490.9410224739
6400,12,2555.0951237891
6400,13,2619.2725302384
6400,14,2683.2868007489
6400,15,2748.6450006603
6400,16,2824.8142412415
6400,17,2878.4369634964
6400,18,2944.9138098457
6400,19,3011.4994134875
6400,20,3076.7333193503
6400,21,3143.311154614
6400,22,3209.92006339
6400,23,3275.6433770693
6400,24,3341.3356172365
6400,25,3407.1987617205
6400,26,3474.3048466911
6400,27,3555.042034734
6400,28,3613.4654734438
6400,29,3803.9800119633
6400,30,3874.58963543
6400,31,3945.1759537626
6400,32,4017.6965982273
6400,33,4090.1473272895
6400,34,4162.629129864
6400,35,4354.0603369922
6400,36,4545.778974108
6400,37,4611.5333612995
6400,38,4678.3675530386
6400,39,4755.4124460739
6400,40,4935.7784303215
6400,41,5137.8920213018
6400,42,5316.9240330312
6400,43,5519.0599864098
6400,44,5573.1929587422
6400,45,5777.4027749246
6400,46,5958.4635701912
6400,47,6161.8102590035
6400,48,6346.4764190885
6400,49,6543.3921011132
6400,50,6609.7058115236
6400,51,6676.407940836
6400,52,6743.1799855508
6400,53,6809.8821148632
6400,54,6877.7650376378
6400,55,6948.9650578356
6400,56,7018.9066007908
6400,57,7089.2987096724
6400,58,7159.683050176
6400,59,7323.3190006759
6400,60,7402.4116929626
6400,61,7481.5043852494
6400,62,7559.3619054278
6400,63,7723.1687602446
6400,64,7887.1698245123
6400,65,7960.5449905614
6400,66,8030.937099443
6400,67,8101.3292083246
6400,68,8264.6388869468
6400,69,8343.0557303441
6400,70,8420.5403683765
6400,71,8493.0532444631
6400,72,8572.1070948597
6400,73,8638.5761728309
6400,74,8703.879994096
6400,75,8769.339182922
6400,76,8849.0921873422
6400,77,8929.0782431036
6400,78,9008.2097772806
6400,79,9199.5943741406
6400,80,9391.0566547811
6400,81,9582.5966192019
6400,82,9774.4473187443
6400,83,9964.8220264591
6400,84,10156.4396746603
6400,85,10349.9994173716
6400,86,10543.6368438634
6400,87,10738.2841595003
6400,88,10933.8636805021
6400,89,11129.443201504
6400,90,11322.6145253133
6400,91,11517.9609949739
6400,92,11712.6859943912
6400,93,11904.6143777141
6400,94,12098.3294879862
6400,95,12290.8016577719
6400,96,12500.8323193376
6400,97,12680.329340387
6400,98,12929.5739081187
6400,99,13111.0200600493
6400,100,13293.6132413704
6400,101,13476.7646686999
6400,102,13537.506350649
6400,103,13610.0347634917
6400,104,13803.1284035206
6400,105,14050.7520738248
6400,106,14225.8732093624
6400,107,14420.6555921887
6400,108,14602.2683644432
6400,109,14792.2071898262
6400,110,14986.0045981447
6400,111,15164.8851155955
6400,112,15343.9933347316
6400,113,15535.9994018349
6400,114,15728.0054689381
6400,115,16000.9077787581
6400,116,16191.5545523852
6400,117,16389.9963594624
6400,118,16586.0396947088
6400,119,16781.997370247
6400,120,16977.5267472439
6400,121,17173.6557421985
6400,122,17369.2707789037
6400,123,17564.8858156089
6400,124,17644.0036491036
6400,125,17709.2446098629
6400,126,17774.5712303304
6400,127,17840.0691702144
6400,128,17912.4198867579
6400,129,17983.4857076777
6400,130,18054.4658688893
6400,131,18125.7030092256
6400,132,18191.2009491096
6400,133,18262.1811103211
6400,134,18335.9023821965
6400,135,18406.6255642833
6400,136,18483.1736065307
6400,137,18548.6715464147
6400,138,18621.2792420829
6400,139,18686.6058625504
6400,140,18752.0181427262
6400,141,18830.9646568044
6400,142,18909.1402335084
6400,143,18975.7517495995
6400,144,19048.1881258512
6400,145,19118.5686691051
6400,146,19188.949212359
6400,147,19259.3297556129
6400,148,19335.3638396108
6400,149,19406.8579590718
6400,150,19478.780377074
6400,151,19553.3582460318
6400,152,19628.0217746978
6400,153,19699.5158941589
6400,154,19778.2054291123
6400,155,19855.0104504844
6400,156,19931.64415244
6400,157,19996.7137937828
6400,158,20062.0404142503
6400,159,20128.3092915086
6400,160,20207.4271250032
6400,161,20284.4034657918
6400,162,20356.9255017517
6400,163,20481.4429806152
6400,164,20569.2124446424
6400,165,20648.9298960948
6400,166,20893.1139873738
6400,167,20978.3993198619
6400,168,21222.5834111409
6400,169,21470.0225713331
6400,170,21714.4636417368
6400,171,21958.6477330158
6400,172,22083.2508715875
6400,173,22207.768350451
6400,174,22332.3714890227
6400,175,22456.8889678862
6400,176,22640.166153533
6400,177,22829.2239807299
6400,178,23018.2818079269
6400,179,23207.3396351238
6400,180,23331.8528790616
6400,181,23456.4509384833
6400,182,23650.1736172956
6400,183,23774.7716767173
6400,184,23899.369736139
6400,185,24011.1311923243
6400,186,24123.4196984448
6400,187,24248.0082710888
6400,188,24360.9525876622
6400,189,24485.5366645766
6400,190,24599.3758000032
6400,191,24716.0196773016
6400,192,24840.5962230146
6400,193,25021.6546457543
6400,194,25099.0592850841
6400,195,25164.5572249681
6400,196,25242.0475240061
6400,197,25319.5378230442
6400,198,25398.7413162471
6400,199,25470.1293860207
6400,200,25536.7136544448
6400,201,25600.5185394943
6400,202,25670.8924942533
6400,203,25743.3486024586
6400,204,25815.8879968018
6400,205,25894.9237098977
6400,206,25974.0427091315
6400,207,26098.5526534964
6400,208,26223.1458839991
6400,209,26347.7391145018
6400,210,26464.375414168
12800,2,1508.7823049362
12800,3,1638.3531217227
12800,4,1775.9339271415
12800,5,1906.6388230894
12800,6,2030.9952135826
12800,7,2143.2210844907
12800,8,2286.2124412029
12800,9,2410.2146055101
12800,10,2538.7181111767
12800,11,2637.3759733488
12800,12,2770.6049365338
12800,13,2912.0645184597
12800,14,3007.7322247082
12800,15,3112.6792089996
12800,16,3236.0804054611
12800,17,3342.069818366
12800,18,3452.2461917629
12800,19,3561.7042852848
12800,20,3647.4852128951
12800,21,3703.5947058709
12800,22,3769.7527723292
12800,23,3835.8525761784
12800,24,3901.404711503
12800,25,3967.74921831
12800,26,4034.4277640753
12800,27,4104.4622361189
12800,28,4174.9472723389
12800,29,4364.5599230934
12800,30,4435.6003961857
12800,31,4506.3922821464
12800,32,4588.8562027498
12800,33,4660.8196560774
12800,34,4722.8113650929
12800,35,4913.4921636791
12800,36,5104.4098968752
12800,37,5181.2677739042
12800,38,5238.5127498009
12800,39,5304.9815501738
12800,40,5495.8992833699
12800,41,5686.700491348
12800,42,5877.9289584588
12800,43,6069.1574255695
12800,44,6136.2865355111
12800,45,6328.9521469772
12800,46,6531.6220768538
12800,47,6713.894952516
12800,48,6920.7759802578
12800,49,7106.7226311394
12800,50,7173.6575323843
12800,51,7251.382937052
12800,52,7318.6928591014
12800,53,7384.8668181284
12800,54,7452.1375690391
12800,55,7516.3334369113
12800,56,7590.9978442835
12800,57,7662.2830203337
12800,58,7732.6748363792
12800,59,7896.6364024781
12800,60,7975.6899263949
12800,61,8054.7434503117
12800,62,8133.9523411858
12800,63,8298.4188498961
12800,64,8464.0894525257
12800,65,8537.3943990212
12800,66,8612.83564118
12800,67,8688.1215163815
12800,68,8853.3260181391
12800,69,8934.7877298946
12800,70,9017.2593268727
12800,71,9090.7196403255
12800,72,9243.1671200376
12800,73,9298.4695698009
12800,74,9353.9283345726
12800,75,9409.7386037616
12800,76,9477.8617283951
12800,77,9543.9220102628
12800,78,9612.3994484473
12800,79,9813.7606251714
12800,80,9992.6812452662
12800,81,10194.1401935054
12800,82,10374.361344701
12800,83,10587.1580246914
12800,84,10763.7694386776
12800,85,10946.9203355926
12800,86,11185.0435097168
12800,87,11367.3509722665
12800,88,11549.9308641975
12800,89,11732.6587410396
12800,90,11913.2003651124
12800,91,12118.0913862666
12800,92,12298.9200054378
12800,93,12501.878843668
12800,94,12682.969450972
12800,95,12958.3677259596
12800,96,13137.0341357659
12800,97,13316.8144589061
12800,98,13494.3435358428
12800,99,13675.57698438
12800,100,13855.4024691358
12800,101,14035.500998864
12800,102,14094.0579907168
12800,103,14179.9136276392
12800,104,14355.7559573518
12800,105,14547.8777844672
12800,106,14739.0674098386
12800,107,14933.9081587074
12800,108,15132.2835058554
12800,109,15325.2210094968
12800,110,15521.8873201142
12800,111,15716.0289176749
12800,112,15908.7333708803
12800,113,16102.5253927871
12800,114,16295.2298459925
12800,115,16487.4681983259
12800,116,16680.5610689247
12800,117,16878.8198908547
12800,118,17076.1076693014
12800,119,17273.5119729662
12800,120,17471.9261618535
12800,121,17668.3594220349
12800,122,17867.084344837
12800,123,18065.809267639
12800,124,18146.3776193898
12800,125,18211.6811675827
12800,126,18276.9847157756
12800,127,18342.4436309258
12800,128,18416.99151308
12800,129,18489.2477326135
12800,130,18560.2610164883
12800,131,18632.4007108038
12800,132,18697.8984676934
12800,133,18771.1645724496
12800,134,18844.3918354664
12800,135,18917.5802567439
12800,136,18992.1669806374
12800,137,19057.6258957876
12800,138,19132.3679866384
12800,139,19197.6715348313
12800,140,19263.1304499816
12800,141,19341.6013478084
12800,142,19421.1209725972
12800,143,19487.706298188
12800,144,19561.4385038162
12800,145,19631.8303198617
12800,146,19702.2221359072
12800,147,19772.6139519528
12800,148,19851.0848497796
12800,149,19924.6616884504
12800,150,19998.6269445146
12800,151,20071.7765240527
12800,152,20145.7417801169
12800,153,20219.7070361811
12800,154,20298.0225670506
12800,155,20376.5323066167
12800,156,20454.4205783535
12800,157,20519.4910761104
12800,158,20584.7946243033
12800,159,20650.9526907615
12800,160,20730.0450564176
12800,161,20808.0886951118
12800,162,20880.5779650813
12800,163,21005.1540074965
12800,164,21092.4031384125
12800,165,21170.2914101493
12800,166,21430.1139880136
12800,167,21501.9045075838
12800,168,21875.6721435475
12800,169,22104.8480021655
12800,170,22334.7915806851
12800,171,22578.9455220801
12800,172,22703.5369376806
12800,173,22828.0870821296
12800,174,22952.6372265786
12800,175,23077.1873710277
12800,176,23255.5950749596
12800,177,23436.7836435146
12800,178,23618.1080809502
12800,179,23796.8951227287
12800,180,23904.824691358
12800,181,24029.3654320988
12800,182,24215.952837949
12800,183,24340.4917936464
12800,184,24465.0699204826
12800,185,24581.1573867278
12800,186,24713.7348274456
12800,187,24838.3108698608
12800,188,25117.2305506669
12800,189,25241.7867517652
12800,190,25356.755053158
12800,191,25474.4740458492
12800,192,25599.0261727778
12800,193,25656.2752785803
12800,194,25717.5759311149
12800,195,25783.0563679872
12800,196,25844.763816243
12800,197,25902.4967342591
12800,198,25965.6423334396
12800,199,26028.5308641975
12800,200,26095.1160493827
12800,201,26164.2761173567
12800,202,26234.6805593639
12800,203,26300.0171874697
12800,204,26372.5064574392
12800,205,26616.6753249507
12800,206,26695.7702338797
12800,207,26820.3264349781
12800,208,26944.8826360764
12800,209,27069.4812450966
12800,210,27189.2255326302
64000,2,1510.4900557763
64000,3,1643.8651737322
64000,4,1780.9903791738
64000,5,1913.3677986622
64000,6,2050.3669307887
64000,7,2184.4304311795
64000,8,2315.0516976137
64000,9,2446.8143817655
64000,10,2591.808161821
64000,11,2716.7708041468
64000,12,2849.5541356792
64000,13,2991.9878606555
64000,14,3119.5471146823
64000,15,3252.6672778693
64000,16,3393.4314255128
64000,17,3507.9056704631
64000,18,3662.6388501797
64000,19,3786.0253677418
64000,20,3911.9142348355
64000,21,4043.1812851414
64000,22,4178.1879642494
64000,23,4316.1874058445
